Accession	Group	Note
GCF_047782635.1	A	Bacillus halotolerans
GCF_006094495.1	A	Priestia megaterium
GCF_000009045.1	A	Bacillus subtilis
GCF_006094295.1	A	Bacillus cereus
GCF_000161615.1	A	Bacillus thuringiensis
GCF_000015785.2	A	Bacillus velezensis
GCF_000008445.1	A	Bacillus anthracis
GCF_019396925.1	A	Bacillus amyloliquefaciens
GCF_034478925.1	A	Bacillus licheniformis
GCF_000017885.4	A	Bacillus pumilus
GCF_001191605.1	A	Bacillus altitudinis
GCF_002993925.1	A	Bacillus paralicheniformis
GCF_039619585.1	A	Bacillus safensis
GCF_018739485.1	A	Bacillus mycoides
GCF_016605985.1	A	Bacillus toyonensis
GCF_000832905.1	A	Heyndrickxia coagulans
GCF_003055045.1	A	Heyndrickxia sporothermodurans
GCF_902168435.1	A	Bacillus marasmi
GCF_900445365.1	A	Cytobacillus firmus
GCF_002688605.1	A	Priestia aryabhattai
GCF_021441905.1	A	Priestia flexa
GCF_001274935.1	A	Priestia koreensis
GCF_900115845.1	A	Priestia endophytica
GCF_002237735.1	A	Priestia filamentosa
GCF_002019595.1	A	Priestia abyssalis
GCF_014638355.1	A	Priestia taiwanensis
GCF_016909075.1	A	Priestia iocasae
GCF_001457055.1	A	Priestia veravalensis
GCF_000284515.1	B	Halobacillus halophilus
GCF_002097535.1	B	Halobacillus mangrovi
GCF_003386945.1	B	Halobacillus trueperi
GCF_009856445.1	B	Halobacillus litoralis
GCF_900114165.1	B	Halobacillus dabanensis
GCF_000011245.1	B	Oceanobacillus iheyensis
GCF_000340475.1	B	Oceanobacillus kimchii
GCF_042678465.1	B	Oceanobacillus caeni
GCF_003515705.1	B	Oceanobacillus profundus
GCF_042654105.1	B	Oceanobacillus aidingensis
GCF_004565465.1	B	Lentibacillus salicampi
GCF_027186265.1	B	Lentibacillus daqui
GCF_001307805.1	B	Lentibacillus amyloliquefaciens
GCF_900107355.1	B	Lentibacter algarum
GCF_039522485.1	B	Lentibacillus halophilus
GCF_000224785.1	B	Lentibacillus jeotgali
GCF_007004555.1	B	Lentibacillus cibarius
GCF_014206945.1	B	Gracilibacillus halotolerans
GCF_009650095.1	B	Gracilibacillus salitolerans
GCF_010994085.1	B	Gracilibacillus saliphilus
GCF_009498735.1	B	Gracilibacillus oryzae
GCF_900626275.1	B	Gracilibacillus phocaeensis
GCF_007991275.1	B	Alkalibacillus haloalkaliphilus
GCF_014595945.1	B	Alkalibacillus aidingensis
GCF_030812915.1	B	Alkalibacillus salilacus
GCF_011761495.1	B	Alkalibacillus almallahensis
GCF_003003275.1	B	Alkalibacterium olivapovliticus
GCF_030339115.1	C	Geobacillus stearothermophilus
GCF_002982115.1	C	Lysinibacillus sphaericus
GCF_001653195.1	C	Hydrogenibacillus schlegelii
GCF_022811565.1	C	Paenibacillus polymyxa
GCF_018075365.1	C	Virgibacillus pantothenticus
GCF_000258535.2	C	Paenibacillus mucilaginosus
GCF_002706795.1	C	Brevibacillus laterosporus
GCF_048898065.1	C	Tepidibacillus infernus
GCF_000724775.3	C	Lysinibacillus fusiformis
GCF_000019045.1	C	Anoxybacillus flavithermus
