LABELS
SEPARATOR TAB
DATA
GCF_047782635.1	<i>Bacillus halotolerans</i>
GCF_006094495.1	<i>Priestia megaterium</i>
GCF_000009045.1	<i>Bacillus subtilis</i>
GCF_006094295.1	<i>Bacillus cereus</i>
GCF_000161615.1	<i>Bacillus thuringiensis</i>
GCF_000015785.2	<i>Bacillus velezensis</i>
GCF_000008445.1	<i>Bacillus anthracis</i>
GCF_019396925.1	<i>Bacillus amyloliquefaciens</i>
GCF_034478925.1	<i>Bacillus licheniformis</i>
GCF_000017885.4	<i>Bacillus pumilus</i>
GCF_001191605.1	<i>Bacillus altitudinis</i>
GCF_002993925.1	<i>Bacillus paralicheniformis</i>
GCF_039619585.1	<i>Bacillus safensis</i>
GCF_018739485.1	<i>Bacillus mycoides</i>
GCF_016605985.1	<i>Bacillus toyonensis</i>
GCF_000832905.1	<i>Heyndrickxia coagulans</i>
GCF_003055045.1	<i>Heyndrickxia sporothermodurans</i>
GCF_902168435.1	<i>Bacillus marasmi</i>
GCF_900445365.1	<i>Cytobacillus firmus</i>
GCF_002688605.1	<i>Priestia aryabhattai</i>
GCF_021441905.1	<i>Priestia flexa</i>
GCF_001274935.1	<i>Priestia koreensis</i>
GCF_900115845.1	<i>Priestia endophytica</i>
GCF_002237735.1	<i>Priestia filamentosa</i>
GCF_002019595.1	<i>Priestia abyssalis</i>
GCF_014638355.1	<i>Priestia taiwanensis</i>
GCF_016909075.1	<i>Priestia iocasae</i>
GCF_001457055.1	<i>Priestia veravalensis</i>
GCF_000284515.1	<i>Halobacillus halophilus</i>
GCF_002097535.1	<i>Halobacillus mangrovi</i>
GCF_003386945.1	<i>Halobacillus trueperi</i>
GCF_009856445.1	<i>Halobacillus litoralis</i>
GCF_900114165.1	<i>Halobacillus dabanensis</i>
GCF_000011245.1	<i>Oceanobacillus iheyensis</i>
GCF_000340475.1	<i>Oceanobacillus kimchii</i>
GCF_042678465.1	<i>Oceanobacillus caeni</i>
GCF_003515705.1	<i>Oceanobacillus profundus</i>
GCF_042654105.1	<i>Oceanobacillus aidingensis</i>
GCF_004565465.1	<i>Lentibacillus salicampi</i>
GCF_027186265.1	<i>Lentibacillus daqui</i>
GCF_001307805.1	<i>Lentibacillus amyloliquefaciens</i>
GCF_014642895.1	<i>Lentibacillus populi</i>
GCF_039522485.1	<i>Lentibacillus halophilus</i>
GCF_000224785.1	<i>Lentibacillus jeotgali</i>
GCF_007004555.1	<i>Lentibacillus cibarius</i>
GCF_014206945.1	<i>Gracilibacillus halotolerans</i>
GCF_009650095.1	<i>Gracilibacillus salitolerans</i>
GCF_010994085.1	<i>Gracilibacillus saliphilus</i>
GCF_009498735.1	<i>Gracilibacillus oryzae</i>
GCF_900626275.1	<i>Gracilibacillus phocaeensis</i>
GCF_007991275.1	<i>Alkalibacillus haloalkaliphilus</i>
GCF_014595945.1	<i>Alkalibacillus aidingensis</i>
GCF_030812915.1	<i>Alkalibacillus salilacus</i>
GCF_011761495.1	<i>Alkalibacillus almallahensis</i>
GCF_003003275.1	<i>Alkalibacterium olivapovliticus</i>
GCF_030339115.1	<i>Geobacillus stearothermophilus</i>
GCF_002982115.1	<i>Lysinibacillus sphaericus</i>
GCF_001653195.1	<i>Hydrogenibacillus schlegelii</i>
GCF_022811565.1	<i>Paenibacillus polymyxa</i>
GCF_018075365.1	<i>Virgibacillus pantothenticus</i>
GCF_000258535.2	<i>Paenibacillus mucilaginosus</i>
GCF_002706795.1	<i>Brevibacillus laterosporus</i>
GCF_048898065.1	<i>Tepidibacillus infernus</i>
GCF_000724775.3	<i>Lysinibacillus fusiformis</i>
GCF_000019045.1	<i>Anoxybacillus flavithermus</i>
