KO	chi2	p_value	p_adj	significant
K00133				False
K00931	2.167443876483425	0.3383339213343897	0.5228796966076932	False
K01799	4.426523297491039	0.10934342641609214	0.20653758323039628	False
K00147	2.167443876483425	0.3383339213343897	0.5228796966076932	False
K11910				False
K06718	34.696186672930864	2.9229325419073443e-08	4.968985321242485e-07	True
K06719				False
K06720	50.785502851779654	9.377091966327732e-12	3.1882112685514287e-10	True
K06721				False
K00129				False
K00130	14.33427689594356	0.0007715273410474843	0.0032789911994518086	True
K03464				False
K00965	2.7267573696145124	0.25579506439432576	0.4577385362845829	False
K00697				False
K05375	18.960989430096983	7.632616810924225e-05	0.00042696241005722024	True
K01231				False
K01230				False
K05845	24.906522672421794	3.904966567336167e-06	3.3192215822357425e-05	True
K05846	18.92826191779394	7.758542590649814e-05	0.00042696241005722024	True
K05847	24.906522672421794	3.904966567336167e-06	3.3192215822357425e-05	True
K02000	12.758103241296519	0.0016967313387916414	0.005244442319901437	True
K02001	12.758103241296519	0.0016967313387916414	0.005244442319901437	True
K02002	12.758103241296519	0.0016967313387916414	0.005244442319901437	True
K03312	7.057651965778261	0.029339340543326733	0.058678681086653466	False
K03313	11.349206349206348	0.003432030623025766	0.007779269412191736	True
K03314				False
K03315	8.534543447008433	0.01401998140769043	0.029792460491342165	True
K03316	2.1674438764834254	0.33833392133438955	0.5228796966076932	False
K03317	18.67852991364896	8.790402560001593e-05	0.00042696241005722024	True
K03318				False
K01546	11.694218361947954	0.0028882364703918598	0.00701428857095166	True
K01547	11.694218361947954	0.0028882364703918598	0.00701428857095166	True
K01548	12.490217151675484	0.0019399199379862544	0.005496439824294388	True
K03455				False
