KO	chi2	p_value	p_adj	significant	Group_A_frequency_percent	Group_B_frequency_percent	Group_C_frequency_percent
K06720	50.78550285177965	9.377091966327732e-12	3.1882112685514287e-10	True	0.0	92.5925925925926	20.0
K06718	37.59144237405107	6.872614832624538e-09	1.1683445215461715e-07	True	0.0	77.77777777777779	20.0
K05847	29.989883884588323	3.074535117916709e-07	2.613354850229202e-06	True	96.42857142857144	100.0	40.0
K05845	29.989883884588323	3.074535117916709e-07	2.613354850229202e-06	True	96.42857142857144	100.0	40.0
K05846	23.653652138821627	7.305916421155847e-06	4.968023166385976e-05	True	96.42857142857144	100.0	50.0
K05375	18.960989430096983	7.632616810924225e-05	0.0004269624100572	True	57.14285714285714	11.11111111111111	0.0
K03317	18.67852991364896	8.790402560001593e-05	0.0004269624100572	True	60.71428571428571	7.4074074074074066	20.0
K00130	14.40964348702444	0.000742994627932	0.003157727168711	True	96.42857142857144	74.07407407407408	40.0
K02000	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.28571428571429	100.0	60.0
K02001	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.28571428571429	100.0	60.0
K02002	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.28571428571429	100.0	60.0
K01548	12.490217151675484	0.0019399199379862	0.0054964398242943	True	39.285714285714285	3.7037037037037033	50.0
K01546	11.694218361947954	0.0028882364703918	0.0070142885709516	True	35.714285714285715	3.7037037037037033	50.0
K01547	11.694218361947954	0.0028882364703918	0.0070142885709516	True	35.714285714285715	3.7037037037037033	50.0
K03313	11.349206349206348	0.0034320306230257	0.0077792694121917	True	0.0	0.0	20.0
K03315	8.601190476190476	0.0135604848922296	0.028816030395988	True	92.85714285714286	77.77777777777779	50.0
