DATASET_BINARY
SEPARATOR TAB
DATASET_LABEL	Osmoprotective genes
COLOR	#000000
FIELD_LABELS	ectA	ectC	treS	proV	proW	proX	betA	betB	nhaA	mrpA
FIELD_COLORS	#E41A1C	#E41A1C	#377EB8	#4DAF4A	#4DAF4A	#4DAF4A	#984EA3	#984EA3	#FF7F00	#FF7F00
FIELD_SHAPES	1	1	1	1	1	1	1	1	1	1
DATA
GCF_000008445.1	0	0	0	1	1	1	0	1	0	1
GCF_000009045.1	0	0	0	1	1	1	0	1	0	1
GCF_000011245.1	1	1	0	1	1	1	0	0	0	1
GCF_000015785.2	0	0	0	1	1	1	0	1	0	1
GCF_000017885.4	0	0	0	1	1	1	0	1	0	1
GCF_000019045.1	0	0	0	0	0	0	0	0	0	0
GCF_000161615.1	0	0	0	1	1	1	0	1	0	1
GCF_000224785.1	1	1	0	1	1	1	0	1	0	1
GCF_000258535.2	0	0	0	0	0	0	0	1	0	0
GCF_000284515.1	1	1	0	1	1	1	0	1	0	1
GCF_000340475.1	0	1	0	1	1	1	0	0	0	1
GCF_000724775.3	0	0	0	1	1	1	0	1	0	1
GCF_000832905.1	0	0	0	0	0	0	0	1	0	0
GCF_001191605.1	0	0	0	1	1	1	0	1	0	1
GCF_001274935.1	0	0	0	0	0	0	0	1	0	1
GCF_001307805.1	1	1	0	1	1	1	0	1	0	1
GCF_001457055.1	0	0	0	0	0	0	0	1	0	1
GCF_001653195.1	1	1	0	0	0	0	0	1	1	0
GCF_002019595.1	0	0	0	1	1	1	0	1	0	1
GCF_002097535.1	0	1	0	1	1	1	0	1	0	1
GCF_002237735.1	0	0	0	0	0	0	0	1	0	1
GCF_002688605.1	0	0	0	1	1	1	0	1	0	1
GCF_002706795.1	0	0	0	1	1	1	0	0	0	1
GCF_002982115.1	0	0	0	1	1	1	0	0	0	1
GCF_002993925.1	0	0	0	1	1	1	0	1	0	1
GCF_003003275.1	0	0	0	1	1	1	0	0	0	1
GCF_003055045.1	0	0	0	1	1	1	0	1	0	1
GCF_003386945.1	0	1	0	1	1	1	0	1	0	1
GCF_003515705.1	1	1	0	1	1	1	0	0	0	1
GCF_004565465.1	1	1	0	1	1	1	0	1	0	1
GCF_006094295.1	0	0	0	1	1	1	0	1	0	1
GCF_006094495.1	0	0	0	1	1	1	0	1	0	1
GCF_007004555.1	1	1	0	1	1	1	0	1	0	1
GCF_007991275.1	1	1	0	1	1	1	0	1	0	0
GCF_009498735.1	1	1	0	1	1	1	0	0	0	0
GCF_009650095.1	1	1	0	1	1	1	0	1	0	0
GCF_009856445.1	0	1	0	1	1	1	0	1	0	1
GCF_010994085.1	1	1	0	1	1	1	0	1	0	0
GCF_011761495.1	1	1	0	1	1	1	0	1	0	1
GCF_014206945.1	1	1	0	1	1	1	0	0	0	0
GCF_014595945.1	0	0	0	1	1	1	0	1	0	0
GCF_014638355.1	0	0	0	0	0	0	0	1	0	1
GCF_014642895.1	1	1	0	1	1	1	0	1	0	1
GCF_016605985.1	0	0	0	1	1	1	0	1	0	1
GCF_016909075.1	0	0	0	0	0	0	0	1	0	1
GCF_018075365.1	1	1	0	1	1	1	0	1	0	1
GCF_018739485.1	0	0	0	1	1	1	0	1	0	1
GCF_019396925.1	0	0	0	1	1	1	0	1	0	1
GCF_021441905.1	0	0	0	0	0	0	0	1	0	1
GCF_022811565.1	0	0	0	1	1	1	0	0	0	0
GCF_027186265.1	1	1	0	1	1	1	0	1	0	1
GCF_030339115.1	0	0	0	0	0	0	0	0	0	0
GCF_030812915.1	1	1	0	1	1	1	0	1	0	1
GCF_034478925.1	0	0	0	1	1	1	0	1	0	1
GCF_039522485.1	1	1	0	1	1	1	0	1	0	1
GCF_039619585.1	0	0	0	1	1	1	0	1	0	1
GCF_042654105.1	1	1	0	1	1	1	0	1	0	1
GCF_042678465.1	1	1	0	1	1	1	0	1	0	1
GCF_047782635.1	0	0	0	1	1	1	0	1	0	1
GCF_048898065.1	0	0	0	1	1	1	0	0	1	1
GCF_900114165.1	1	1	0	1	1	1	0	1	0	1
GCF_900115845.1	0	0	0	0	0	0	0	1	0	1
GCF_900445365.1	0	0	0	0	0	0	0	1	0	1
GCF_900626275.1	1	1	0	1	1	1	0	0	0	1
GCF_902168435.1	0	0	0	0	0	0	0	0	0	0
