accession	KO	target	score	evalue	threshold	pass
GCF_000008445.1	K00133	NC_007530.2_3757	483.3	3.4e-145	219.27	True
GCF_000008445.1	K00133	NC_007530.2_2332	443.5	3.8e-133	219.27	True
GCF_000008445.1	K00133	NC_007530.2_4161	92.8	7.3e-27	219.27	False
GCF_000008445.1	K00133	NC_007530.2_139	38.2	2.7e-10	219.27	False
GCF_000008445.1	K00133	NC_007530.2_482	36.6	8.2e-10	219.27	False
GCF_000008445.1	K00133	NC_007530.2_5123	33.6	6.6e-09	219.27	False
GCF_000008445.1	K00133	NC_007530.2_4608	30.2	7e-08	219.27	False
GCF_000008445.1	K00931	NC_007530.2_2867	472.9	5.5e-142	285.2	True
GCF_000008445.1	K00931	NC_007530.2_3781	35.4	2.1e-09	285.2	False
GCF_000008445.1	K00931	NC_007530.2_4159	26.7	8.6e-07	285.2	False
GCF_000008445.1	K00147	NC_007530.2_2866	646.0	1.9e-194	550.87	True
GCF_000008445.1	K00147	NC_007530.2_836	56.5	5.8e-16	550.87	False
GCF_000008445.1	K00147	NC_007530.2_4392	54.5	2.4e-15	550.87	False
GCF_000008445.1	K00147	NC_007530.2_2401	49.8	6.2e-14	550.87	False
GCF_000008445.1	K00147	NC_007530.2_2254	45.3	1.5e-12	550.87	False
GCF_000008445.1	K00147	NC_007530.2_2196	43.7	4.5e-12	550.87	False
GCF_000008445.1	K00147	NC_007530.2_300	27.2	4.2e-07	550.87	False
GCF_000008445.1	K00147	NC_007530.2_319	25.5	1.4e-06	550.87	False
GCF_000008445.1	K06718	NC_007530.2_2928	43.4	7.7e-12	76.37	False
GCF_000008445.1	K06718	NC_007530.2_1525	25.2	2.9e-06	76.37	False
GCF_000008445.1	K00129	NC_007530.2_1231	576.6	1.8e-173	783.5	False
GCF_000008445.1	K00129	NC_007530.2_2717	226.0	2.7e-67	783.5	False
GCF_000008445.1	K00129	NC_007530.2_319	222.0	4.4e-66	783.5	False
GCF_000008445.1	K00129	NC_007530.2_3446	214.8	6.7e-64	783.5	False
GCF_000008445.1	K00129	NC_007530.2_2196	206.7	1.9e-61	783.5	False
GCF_000008445.1	K00129	NC_007530.2_836	196.7	2.1e-58	783.5	False
GCF_000008445.1	K00129	NC_007530.2_300	179.6	3.2e-53	783.5	False
GCF_000008445.1	K00129	NC_007530.2_2401	149.7	3.4e-44	783.5	False
GCF_000008445.1	K00129	NC_007530.2_2254	140.1	2.8e-41	783.5	False
GCF_000008445.1	K00129	NC_007530.2_4392	32.7	9.8e-09	783.5	False
GCF_000008445.1	K00130	NC_007530.2_2717	699.6	1.1e-210	692.43	True
GCF_000008445.1	K00130	NC_007530.2_3446	695.8	1.5e-209	692.43	True
GCF_000008445.1	K00130	NC_007530.2_319	558.2	7e-168	692.43	False
GCF_000008445.1	K00130	NC_007530.2_2196	480.4	2.3e-144	692.43	False
GCF_000008445.1	K00130	NC_007530.2_2401	451.7	1.1e-135	692.43	False
GCF_000008445.1	K00130	NC_007530.2_836	449.1	7e-135	692.43	False
GCF_000008445.1	K00130	NC_007530.2_2254	424.6	1.9e-127	692.43	False
GCF_000008445.1	K00130	NC_007530.2_300	423.6	3.6e-127	692.43	False
GCF_000008445.1	K00130	NC_007530.2_1231	285.2	3e-85	692.43	False
GCF_000008445.1	K00130	NC_007530.2_4392	52.6	7.1e-15	692.43	False
GCF_000008445.1	K00130	NC_007530.2_2866	24.1	3.2e-06	692.43	False
GCF_000008445.1	K00965	NC_007530.2_218	46.1	1.2e-12	55.63	False
GCF_000008445.1	K05375	NC_007530.2_2270	99.9	2.9e-29	30.0	True
GCF_000008445.1	K05845	NC_007530.2_2188	352.3	1.3e-105	108.03	True
GCF_000008445.1	K05845	NC_007530.2_2675	34.6	2.9e-09	108.03	False
GCF_000008445.1	K05846	NC_007530.2_2188	429.6	7.7e-129	180.93	True
GCF_000008445.1	K05846	NC_007530.2_2187	147.0	2.6e-43	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2673	131.0	1.8e-38	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2674	113.6	3.3e-33	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1232	100.9	2.3e-29	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4987	95.5	9.8e-28	180.93	False
GCF_000008445.1	K05846	NC_007530.2_172	94.5	2e-27	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1271	91.7	1.4e-26	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1661	90.3	3.7e-26	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4043	88.2	1.7e-25	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3213	86.0	7.4e-25	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4988	83.3	4.8e-24	180.93	False
GCF_000008445.1	K05846	NC_007530.2_303	80.8	2.9e-23	180.93	False
GCF_000008445.1	K05846	NC_007530.2_560	80.0	4.9e-23	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2534	78.8	1.1e-22	180.93	False
GCF_000008445.1	K05846	NC_007530.2_304	76.0	8e-22	180.93	False
GCF_000008445.1	K05846	NC_007530.2_842	74.3	2.6e-21	180.93	False
GCF_000008445.1	K05846	NC_007530.2_173	69.3	8.8e-20	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2798	65.5	1.2e-18	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4178	64.6	2.2e-18	180.93	False
GCF_000008445.1	K05846	NC_007530.2_632	64.4	2.5e-18	180.93	False
GCF_000008445.1	K05846	NC_007530.2_375	64.4	2.6e-18	180.93	False
GCF_000008445.1	K05846	NC_007530.2_137	64.2	3.1e-18	180.93	False
GCF_000008445.1	K05846	NC_007530.2_362	61.4	2.1e-17	180.93	False
GCF_000008445.1	K05846	NC_007530.2_226	61.2	2.4e-17	180.93	False
GCF_000008445.1	K05846	NC_007530.2_720	60.2	4.8e-17	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2796	57.8	2.6e-16	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4520	57.4	3.4e-16	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1141	55.7	1.1e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_186	55.6	1.2e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4809	55.6	1.2e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2851	55.6	1.2e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_662	54.7	2.3e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1142	53.1	6.7e-15	180.93	False
GCF_000008445.1	K05846	NC_007530.2_185	52.1	1.4e-14	180.93	False
